"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[42]",4.51196734138623,0.000524908123489792,0.103245720020296,4.25100493478991,4.31194479435957,4.4429442104982,4.51103410369162,4.58040251735824,4.71765297073102,4.78435788684399,38688.1111328831,1.00000248020463
"log_lambda[43]",3.92644020780683,0.000586389854192088,0.116481653905855,3.63443400111616,3.7023913484603,3.84749776575844,3.92492836140396,4.00330019560199,4.15811458305362,4.23054591739099,39458.6444955928,1.00004331552575
"log_lambda[44]",2.03136161784518,0.000610777735424802,0.122152635304005,1.71851424732765,1.79343620818375,1.94819767841329,2.03029611369323,2.11243631165883,2.27433743044674,2.35535293341932,39998.093089461,1.00001541182229
"log_lambda[45]",7.03988355518511,0.00050627325775907,0.101963781027598,6.78040597844985,6.8432671259118,6.97057425653601,7.03891191268997,7.10768067345285,7.24278165404282,7.31201382551463,40562.2360121456,0.999981842678897
"log_lambda[46]",5.14480496522345,0.00049190498993389,0.0996567124600693,4.89200182574111,4.95261781142212,5.07745754174813,5.14340766417788,5.21087164105973,5.34387987218521,5.41085284671381,41044.09237287,0.999968083178518
"log_lambda[47]",3.56817143362069,0.000562912547319146,0.112388936691981,3.27827148678333,3.34842708247578,3.49210833594356,3.56831029472024,3.64437124469969,3.78746149670589,3.85951928175249,39862.567384843,0.99994571563579
"log_lambda[48]",1.67309284365903,0.000588389577388253,0.118196398264373,1.36517053531498,1.44082176479008,1.59339152589382,1.67280478774093,1.75171134701901,1.90698362535897,1.98089962455413,40353.2523421985,0.999956665740485
"log_lambda[49]",2.09769971292843,0.000616356864139279,0.121814710337716,1.79051703576522,1.86357062900696,2.01525321131793,2.0958407239198,2.17851892298156,2.34151074867176,2.42355148513275,39060.2483121283,0.999978414224372
"log_lambda[50]",0.202621122966775,0.000651592172064099,0.129862486156355,-0.125212411511029,-0.0493958774049059,0.114935646137048,0.20136913223324,0.288367564250948,0.463455198408416,0.549138704608215,39720.5917091178,1.00000075820955
"log_lambda[51]",-0.382906010612617,0.000676850705203155,0.134478649412223,-0.724526216789966,-0.641115955763721,-0.47440751285262,-0.384600800940932,-0.294119843890281,-0.11313599016184,-0.0249101710174105,39474.8879630691,1.00004874390633
