"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[58]",-3.45768613402307,0.00062061377433604,0.144168924780204,-3.85114303847769,-3.74776965792596,-3.55405953306424,-3.45399802236288,-3.35901115333002,-3.1844857836003,-3.10413804216735,53963.5482735037,1.00003663116953
"log_lambda[59]",-3.98671041131948,0.000628921482869678,0.145119037744461,-4.3812106545771,-4.27956328908857,-4.08316971473766,-3.98320643339883,-3.8865981544917,-3.71236573440863,-3.63580615597442,53242.1911811859,1.00002472972373
"log_lambda[60]",-5.99089529372599,0.000629038361351109,0.145206263685526,-6.38592641962252,-6.28284115208457,-6.08753304370795,-5.98770234318907,-5.89081728305756,-5.71565245805968,-5.63790535197243,53286.407143771,1.00002893392161
"log_lambda[61]",-0.510375091718998,0.000619632823718586,0.144075018508759,-0.903589948743946,-0.801047313507275,-0.605999393676302,-0.506938890400549,-0.411499850590995,-0.23667654238397,-0.157396409558454,54064.0451429153,1.00003563326656
"log_lambda[62]",-2.51455997412551,0.000619930038778156,0.144168669181881,-2.90763267454594,-2.80476518443308,-2.61063998623644,-2.51116359313599,-2.41561463746747,-2.24072052216464,-2.16230833226768,54082.4575070903,1.00003972734297
"log_lambda[63]",-3.90235598656551,0.000622464197202438,0.144917786416526,-4.29587777668613,-4.19555417299025,-3.99837924431088,-3.89949147061106,-3.80257865963131,-3.62798064106967,-3.55038444718562,54201.9148664533,1.00004497871151
"log_lambda[64]",-5.90654086897201,0.00062273485268219,0.145007986397673,-6.29950952111002,-6.19894703389202,-6.00270933303621,-5.90371225470331,-5.80668438973182,-5.63250783383002,-5.55400463490951,54222.2454474327,1.00004940266457
"log_lambda[65]",1.67909902188385,0.000152242633895289,0.0304092698694408,1.60058468337737,1.61912915087022,1.65868149306962,1.67913184197959,1.69979085683184,1.73804656802097,1.75552431389864,39896.9234782955,0.999990230047881
"log_lambda[66]",-0.325085860522655,0.000156086823176702,0.0312796345979708,-0.406180582470003,-0.386759138232488,-0.346221144843137,-0.324962658015324,-0.30395478227518,-0.264131189353025,-0.246423220145894,40159.7369130655,0.999997223090667
"log_lambda[67]",-0.85411013781907,0.000174593012908633,0.0350596789936936,-0.945479072292817,-0.923350107572448,-0.877560818620688,-0.85378434596822,-0.830492269662181,-0.785656017156232,-0.7643276602505,40323.8649579038,0.999988946979894
